City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Natal,BR,75.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
422,Kendari,ID,83.46,overcast clouds,-3.945,122.4989,Hotel Wixel
425,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
427,Alta Floresta,BR,70.7,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
432,Alofi,NU,81.97,scattered clouds,-19.0595,-169.9187,Taloa Heights
435,Viedma,AR,74.48,few clouds,-40.8135,-62.9967,Hotel Cristal
436,Ahipara,NZ,68.34,light rain,-35.1667,173.1667,Ahipara Holiday Park
437,Kawardha,IN,76.42,clear sky,22.0167,81.25,STARiHOTELS Raipur Road kawardha
442,Grand Baie,MU,82.45,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
444,Corn Island,NI,80.35,few clouds,12.1694,-83.0418,Big Fish Guest House
448,Sinnamary,GF,76.41,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
452,Tual,ID,83.97,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
454,Parakou,BJ,72.07,clear sky,9.3372,2.6303,Benin Metropole Hotel
455,Maragogi,BR,77.43,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
457,Marsh Harbour,BS,73.56,clear sky,26.5412,-77.0636,Abaco Beach Resort
460,Bonfim,BR,76.59,broken clouds,3.0833,-59.95,
462,Coahuayana,MX,66.47,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
464,Antofagasta,CL,66.47,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
466,Chotila,IN,74.39,clear sky,22.4167,71.1833,Hotel Honest
467,Robertsport,LR,77.04,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
470,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
471,Sindou,BF,67.53,scattered clouds,10.6667,-5.1667,LERABA HOTEL
477,Puerto Leguizamo,CO,70.75,overcast clouds,-0.1934,-74.7819,la casona de juancho
479,Aden,YE,77.92,light rain,12.7794,45.0367,Sama Emirate Hotel
481,Okato,NZ,68.41,clear sky,-39.2,173.8833,Goodin Country Garden
482,Camaqua,BR,66.31,broken clouds,-30.8511,-51.8122,Bartz Hotel
484,Razole,IN,80.89,few clouds,16.4833,81.8333,Sterling Palavelli Godavari
485,Itarema,BR,78.03,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
487,Edeia,BR,68.27,moderate rain,-17.3383,-49.9314,Hotel Imperial Edeia
491,Mizan Teferi,ET,66.51,light rain,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
492,Sao Miguel Do Araguaia,BR,71.04,light rain,-13.275,-50.1628,Hotel Executivo Palace
495,Soyo,AO,78.21,broken clouds,-6.1349,12.3689,Hotel Mpampa
499,Batemans Bay,AU,77.2,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
502,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
505,Bandarbeyla,SO,79.83,broken clouds,9.4942,50.8122,JABIR HOTEL
506,Kiama,AU,79.0,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
507,Taree,AU,84.06,broken clouds,-31.9,152.4667,All Seasons Country Lodge Taree
510,Masvingo,ZW,71.49,light rain,-20.0637,30.8277,River Side Lodge
514,Clarence Town,AU,83.14,broken clouds,-32.5833,151.7833,River Downs Cottage
515,Noumea,NC,82.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
516,Mount Barker,AU,66.04,overcast clouds,-35.0667,138.8667,A Suite Spot in the Hills
517,Caravelas,BR,75.88,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
520,Lorengau,PG,81.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
521,Piacabucu,BR,78.12,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
524,Hambantota,LK,84.61,broken clouds,6.1241,81.1185,Bungalow 63
526,Colombo,LK,84.04,scattered clouds,6.9319,79.8478,Galle Face Hotel
532,Mpika,ZM,69.39,overcast clouds,-11.8343,31.4529,Melodies Lodge
536,Irece,BR,69.1,light rain,-11.3042,-41.8558,Caraíbas Palace Hotel
539,Tawau,MY,82.38,scattered clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
541,Nanakuli,US,73.35,scattered clouds,21.3906,-158.1547,Camp Pālehua
551,Asosa,ET,72.01,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
558,Sulangan,PH,79.93,broken clouds,11.1373,123.7228,Maia's Beach Resort
559,Toowoomba,AU,69.26,light rain,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
563,Hervey Bay,AU,79.03,broken clouds,-25.2986,152.8535,Shelly Bay Resort
565,Voh,NC,82.72,broken clouds,-20.9667,164.7,Le gîte du Koniambo
566,Puerto El Triunfo,SV,73.56,scattered clouds,13.2833,-88.55,Hotel Jardin
567,Morondava,MG,84.92,broken clouds,-20.2833,44.2833,La Case Bambou
570,Tocopilla,CL,68.72,clear sky,-22.092,-70.1979,Hotel Galvarino
574,Armeria,MX,67.19,few clouds,18.9333,-103.9667,Hotel la Herradura
575,Fare,PF,81.37,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
582,Manokwari,ID,82.45,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
584,Bukoba,TZ,68.47,light rain,-1.3317,31.8122,Elct Bukoba Hotel and Tours
587,Pali,IN,70.97,clear sky,25.7667,73.3333,HOTEL THE AMBA VILAS
589,Whyalla,AU,69.69,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
590,Yarada,IN,80.92,haze,17.65,83.2667,Yarada Jungle Beach Resorts
592,Amapa,BR,71.22,overcast clouds,1.0,-52.0,
595,Toamasina,MG,80.89,overcast clouds,-18.1667,49.3833,Hotel H1
596,Gizo,SB,81.93,moderate rain,-8.103,156.8419,Imagination Island
598,Rio Grande,BR,68.47,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
605,Ixtapa,MX,70.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
608,Dingle,PH,81.45,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
609,Talara,PE,68.79,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
612,Fomboni,KM,84.27,light rain,-12.28,43.7425,Auberge les abou
613,Bagotville,AU,80.62,overcast clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
615,Khawhai,IN,69.3,clear sky,23.3667,93.1167,Homestay Khawhai
619,Andilamena,MG,72.64,overcast clouds,-17.0167,48.5833,Police men home Andilamina
626,Haikou,CN,70.03,overcast clouds,20.0458,110.3417,Sun City Restaurant
629,Tamasane,BW,74.57,overcast clouds,-22.4184,27.4013,
630,Flinders,AU,78.8,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
639,Spring Hill,US,68.29,broken clouds,28.4769,-82.5255,Room of The world By traveline Plus
640,Teahupoo,PF,73.36,moderate rain,-17.8333,-149.2667,Vanira Lodge
642,Luangwa,ZM,73.2,moderate rain,-15.6167,30.4167,Gerasimos Safari Lodge
643,Luang Prabang,LA,84.92,overcast clouds,19.8856,102.1347,The Apsara
644,Sao Carlos,BR,65.14,overcast clouds,-22.0175,-47.8908,The Hill Hoteis Apart Suites
645,Pokhara,NP,68.99,scattered clouds,28.2333,83.9833,Butterfly Lodge
647,Porto Walter,BR,74.64,scattered clouds,-8.2686,-72.7439,Secretaria de saúde
648,Upington,ZA,79.05,clear sky,-28.4478,21.2561,River Place Manor
649,Tampayan,PH,79.09,broken clouds,12.4794,122.5231,Sanctuary Garden Resort
651,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
652,Aloleng,PH,82.65,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
654,Kayes,ML,68.25,few clouds,14.0,-11.0,
662,Bontang,ID,82.4,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
664,Cuamba,MZ,72.9,light rain,-14.8031,36.5372,Hotel Vision
666,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
