City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Chuy,UY,-33.6971,-53.4616,63.73,72,21,5.3,few clouds
79,Ailigandi,PA,9.2333,-78.0167,77.36,83,95,9.51,overcast clouds
80,Souillac,MU,-20.5167,57.5167,82.36,78,100,1.41,moderate rain
81,Takaka,NZ,-40.85,172.8,66.38,70,93,4.74,overcast clouds
82,Mapiripan,CO,2.8892,-72.1256,73.69,56,77,4.81,broken clouds
83,Geraldton,AU,-28.7667,114.6,86.41,37,2,12.66,clear sky
84,Banda Aceh,ID,5.5577,95.3222,84.97,66,69,5.46,broken clouds
85,Lavrentiya,RU,65.5833,-171.0,5.99,86,14,7.54,few clouds
86,Eureka,US,40.8021,-124.1637,53.19,95,100,1.01,overcast clouds
87,Mehamn,NO,71.0357,27.8492,26.51,76,91,3.8,overcast clouds
88,Thompson,CA,55.7435,-97.8558,-20.24,93,24,7.58,few clouds
89,Kologriv,RU,58.8275,44.3178,23.95,94,100,9.08,overcast clouds
90,Baghmara,IN,23.795,86.2085,74.3,34,0,4.83,clear sky
91,Taksimo,RU,56.3444,114.8794,4.89,95,87,1.52,overcast clouds
92,Kaeo,NZ,-35.1,173.7833,69.33,87,50,10.04,scattered clouds
93,Hermanus,ZA,-34.4187,19.2345,73.9,81,96,18.48,overcast clouds
94,Derzhavinsk,KZ,51.1,66.3167,26.19,93,100,21.36,overcast clouds
95,Anadyr,RU,64.75,177.4833,21.7,73,40,4.47,scattered clouds
96,Stryn,NO,61.9045,6.7226,36.32,73,100,6.93,overcast clouds
97,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,16.11,few clouds
98,Nyurba,RU,63.2842,118.3319,-6.3,98,100,3.31,overcast clouds
99,Victoria,HK,22.2855,114.1577,71.96,75,29,5.01,scattered clouds
100,Basco,PH,20.4487,121.9702,74.39,80,96,19.98,overcast clouds
101,Burnie,AU,-41.0667,145.9167,70.92,82,94,5.73,overcast clouds
102,Saint-Pierre,RE,-21.3393,55.4781,85.64,66,0,4.61,clear sky
103,Atar,MR,20.5169,-13.0499,58.82,44,98,7.29,overcast clouds
104,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,75,95,8.79,overcast clouds
105,Vardo,NO,70.3705,31.1107,23.2,57,100,22.59,light snow
106,Nikolskoye,RU,59.7035,30.7861,12.09,91,98,8.61,overcast clouds
107,Abu Samrah,SY,35.3029,37.1841,51.04,76,100,4.5,overcast clouds
108,Senanga,ZM,-16.1167,23.2667,70.84,84,100,3.8,overcast clouds
109,Dikson,RU,73.5069,80.5464,-24.52,100,100,11.97,overcast clouds
110,Tuatapere,NZ,-46.1333,167.6833,60.82,73,47,7.81,scattered clouds
111,Lazo,RU,43.3817,133.9014,16.27,61,4,4.83,clear sky
112,Miri,MY,4.4148,114.0089,83.77,74,54,6.29,broken clouds
113,Wawa,NG,9.9022,4.4192,73.76,36,3,5.14,clear sky
114,Tupik,RU,54.4253,119.9327,6.22,89,93,1.5,overcast clouds
115,Cherskiy,RU,68.75,161.3,-8.21,95,100,0.78,overcast clouds
116,Arraial Do Cabo,BR,-22.9661,-42.0278,74.53,93,100,14.38,light rain
117,Ust-Karsk,RU,52.7011,118.8077,6.08,87,98,0.4,overcast clouds
118,Ketchikan,US,55.3422,-131.6461,22.98,68,0,8.05,clear sky
119,Jamestown,US,42.097,-79.2353,22.51,90,100,3.0,overcast clouds
120,Tubuala,PA,9.5167,-79.0333,75.33,80,80,11.99,broken clouds
121,Saint-Philippe,RE,-21.3585,55.7679,85.55,71,100,9.33,overcast clouds
122,Narsaq,GL,60.9167,-46.05,16.02,76,4,9.69,clear sky
123,Arroyo,ES,41.6096,-4.7969,39.15,90,100,4.61,mist
124,Ust-Nera,RU,64.5667,143.2,-17.16,97,57,1.07,broken clouds
125,Langgons,DE,50.5,8.6667,35.78,94,100,10.0,overcast clouds
126,Longyearbyen,SJ,78.2186,15.6401,12.04,79,40,18.41,scattered clouds
127,Polis,CY,35.0367,32.4264,53.42,67,100,1.92,overcast clouds
128,Saint George,US,37.1041,-113.5841,39.67,62,0,3.47,clear sky
129,Hatillo,PR,18.4863,-66.8254,75.85,87,11,1.99,few clouds
130,Nova Ushytsya,UA,48.8372,27.2743,28.36,72,88,13.62,overcast clouds
131,Nome,US,64.5011,-165.4064,5.16,72,0,0.0,clear sky
132,Coquimbo,CL,-29.9533,-71.3436,62.13,85,11,1.63,few clouds
133,Hasaki,JP,35.7333,140.8333,50.29,35,0,12.12,clear sky
134,Norman Wells,CA,65.282,-126.8329,-5.75,92,100,18.16,overcast clouds
135,Vangaindrano,MG,-23.35,47.6,80.94,72,57,4.18,broken clouds
136,Indramayu,ID,-6.3264,108.32,84.94,69,92,7.61,overcast clouds
