City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Butaritari,KI,2021-09-26 08:06:58,3.0707,172.7902,83.17,76,22,12.93
68,Port Elizabeth,ZA,2021-09-26 08:06:59,-33.918,25.5701,70.11,70,79,7.09
69,Iqaluit,CA,2021-09-26 08:06:59,63.7506,-68.5145,34.7,69,100,15.01
70,Terbuny,RU,2021-09-26 08:06:59,52.1389,38.2789,51.4,77,72,18.16
71,Mar Del Plata,AR,2021-09-26 08:07:00,-38.0023,-57.5575,57.0,64,90,14.0
72,Nieuw Amsterdam,SR,2021-09-26 08:07:00,5.8833,-55.0833,77.02,91,48,7.83
73,Castro,BR,2021-09-26 08:07:00,-24.7911,-50.0119,54.93,97,17,3.87
74,Acapulco,MX,2021-09-26 08:02:47,16.8634,-99.8901,78.94,86,99,3.76
75,Codrington,AU,2021-09-26 08:07:01,-38.2667,141.9667,50.83,72,6,12.86
76,Cape Town,ZA,2021-09-26 08:02:09,-33.9258,18.4232,67.12,83,57,1.99
77,Yumen,CN,2021-09-26 08:07:01,40.2833,97.2,70.61,19,0,7.83
78,Tiksi,RU,2021-09-26 08:07:01,71.6872,128.8694,34.39,93,100,21.79
79,Yar-Sale,RU,2021-09-26 08:07:02,66.8333,70.8333,41.59,55,12,11.03
80,Ahipara,NZ,2021-09-26 08:07:02,-35.1667,173.1667,55.24,82,100,9.22
81,Sao Filipe,CV,2021-09-26 08:07:02,14.8961,-24.4956,77.94,76,69,8.86
82,Babati,TZ,2021-09-26 08:07:03,-4.2167,35.75,73.17,51,58,8.48
83,Dikson,RU,2021-09-26 08:07:03,73.5069,80.5464,36.14,83,100,20.92
84,Torbay,CA,2021-09-26 08:07:03,47.6666,-52.7314,47.57,90,99,1.99
85,Verkhnetulomskiy,RU,2021-09-26 08:07:04,68.6073,31.7962,41.13,89,100,2.53
86,Krasnokamensk,RU,2021-09-26 08:07:04,50.0979,118.0369,58.41,88,100,14.09
87,Half Moon Bay,US,2021-09-26 08:03:47,37.4636,-122.4286,61.81,87,90,0.0
88,Nuuk,GL,2021-09-26 08:07:04,64.1835,-51.7216,27.21,74,0,5.75
89,The Valley,AI,2021-09-26 08:07:05,18.217,-63.0578,81.1,73,14,11.88
90,Sembakung,ID,2021-09-26 08:07:05,3.8167,117.25,87.73,70,90,3.83
91,Sao Joao Da Barra,BR,2021-09-26 08:07:05,-21.6403,-41.0511,70.68,76,100,18.43
92,Menongue,AO,2021-09-26 08:07:06,-14.6585,17.691,87.75,11,0,11.52
93,Mogadishu,SO,2021-09-26 08:07:06,2.0371,45.3438,80.91,70,23,21.03
94,Nanortalik,GL,2021-09-26 08:07:06,60.1432,-45.2371,37.09,70,10,6.13
95,Manta,EC,2021-09-26 08:07:07,-0.95,-80.7333,71.38,88,90,9.22
96,Saint George,US,2021-09-26 08:07:07,37.1041,-113.5841,76.42,37,1,3.0
97,Matara,LK,2021-09-26 08:07:07,5.9485,80.5353,82.65,81,100,16.8
98,Gamba,GA,2021-09-26 08:07:08,-2.65,10.0,77.95,79,99,4.97
99,Atuona,PF,2021-09-26 08:07:08,-9.8,-139.0333,77.7,77,60,19.8
100,Itarema,BR,2021-09-26 08:07:08,-2.9248,-39.9167,78.89,76,64,15.99
101,Vytegra,RU,2021-09-26 08:07:09,61.0064,36.4481,47.68,94,100,5.46
102,Kurilsk,RU,2021-09-26 08:07:09,45.2333,147.8833,52.23,73,100,4.41
103,Khowai,IN,2021-09-26 08:07:09,24.1,91.6333,91.18,56,8,2.46
104,High Point,US,2021-09-26 08:07:10,35.9557,-80.0053,57.2,85,1,4.61
105,Mersing,MY,2021-09-26 08:07:10,2.4312,103.8405,86.7,64,100,7.14
106,Victoria,HK,2021-09-26 08:07:10,22.2855,114.1577,93.22,75,27,5.01
107,High Level,CA,2021-09-26 08:07:10,58.5169,-117.136,42.26,63,53,3.18
108,Constitucion,CL,2021-09-26 08:07:11,-35.3333,-72.4167,48.13,90,49,7.27
109,Seymchan,RU,2021-09-26 08:07:11,62.8833,152.4333,33.39,76,69,8.48
110,Tharad,IN,2021-09-26 08:07:11,24.3961,71.6267,91.04,55,97,7.65
111,Bathsheba,BB,2021-09-26 08:07:12,13.2167,-59.5167,77.61,94,40,5.75
112,Nikolskoye,RU,2021-09-26 08:07:12,59.7035,30.7861,49.89,85,100,9.82
113,Tono,JP,2021-09-26 08:07:12,39.3167,141.5333,57.47,87,100,3.96
114,Tsiroanomandidy,MG,2021-09-26 08:07:13,-18.7667,46.0333,83.28,28,0,6.35
115,Guerrero Negro,MX,2021-09-26 08:07:13,27.9769,-114.0611,69.33,77,33,12.1
116,Carnarvon,AU,2021-09-26 08:07:13,-24.8667,113.6333,73.47,43,0,12.66
117,Marzuq,YE,2021-09-26 08:07:14,14.4,46.4667,90.97,11,24,9.82
118,Tasiilaq,GL,2021-09-26 08:07:14,65.6145,-37.6368,37.56,57,94,2.55
119,Coquimbo,CL,2021-09-26 08:03:34,-29.9533,-71.3436,49.73,87,0,2.3
120,Longyearbyen,SJ,2021-09-26 08:07:14,78.2186,15.6401,37.24,93,75,3.44
121,Willmar,US,2021-09-26 08:07:15,45.1219,-95.0433,53.2,66,1,4.61
122,Maniitsoq,GL,2021-09-26 08:07:15,65.4167,-52.9,30.96,53,0,5.77
123,Hilo,US,2021-09-26 08:06:00,19.7297,-155.09,77.29,93,90,9.22
124,Port Blair,IN,2021-09-26 08:07:15,11.6667,92.75,80.6,84,100,10.27
125,Belogorsk,RU,2021-09-26 08:07:16,50.9158,128.4611,62.89,62,41,7.99
126,Yellowknife,CA,2021-09-26 08:03:40,62.456,-114.3525,37.42,99,100,5.01
127,Bethel,US,2021-09-26 08:07:16,41.3712,-73.414,61.05,92,40,0.0
128,Murgab,TM,2021-09-26 08:07:16,37.4966,61.9714,85.87,35,0,11.5
129,Rikitea,PF,2021-09-26 08:07:17,-23.1203,-134.9692,73.78,73,4,15.93
130,New Norfolk,AU,2021-09-26 08:07:17,-42.7826,147.0587,52.92,58,14,2.84
131,Thompson,CA,2021-09-26 08:07:17,55.7435,-97.8558,43.57,88,100,3.11
132,Los Alamos,US,2021-09-26 08:07:17,35.8881,-106.307,54.27,68,1,1.01
133,Margate,GB,2021-09-26 08:07:18,51.3813,1.3862,65.91,93,70,11.97
134,Bani,DO,2021-09-26 08:06:10,18.2833,-70.3333,77.13,82,50,3.53
135,Maningrida,AU,2021-09-26 08:07:18,-12.0667,134.2667,82.81,67,82,12.88
136,Adeje,ES,2021-09-26 08:07:19,28.1227,-16.726,73.02,69,20,10.36
137,San Patricio,US,2021-09-26 08:07:19,28.017,-97.5169,76.84,64,99,4.52
138,Cayenne,GF,2021-09-26 08:03:59,4.9333,-52.3333,78.1,89,80,0.0
139,Chegdomyn,RU,2021-09-26 08:07:19,51.1167,133.0167,59.65,69,45,1.34
140,Shimoda,JP,2021-09-26 08:07:20,34.6667,138.95,63.1,87,100,13.53
141,Baykit,RU,2021-09-26 08:07:20,61.67,96.37,40.78,82,100,6.69
142,Lebu,CL,2021-09-26 08:07:20,-37.6167,-73.65,46.08,85,16,13.98
143,Dunedin,NZ,2021-09-26 08:07:21,-45.8742,170.5036,41.81,74,99,6.71
144,Verkhoyansk,RU,2021-09-26 08:07:21,67.5447,133.385,40.19,68,43,5.28
145,Denpasar,ID,2021-09-26 08:05:40,-8.65,115.2167,83.86,70,20,17.27
146,Wajima,JP,2021-09-26 08:07:21,37.4,136.9,71.17,81,55,3.89
147,Honolulu,US,2021-09-26 08:04:37,21.3069,-157.8583,78.62,75,75,4.0
148,Shakhtinsk,KZ,2021-09-26 08:07:22,49.71,72.5872,61.36,18,100,12.46
149,Keti Bandar,PK,2021-09-26 08:07:22,24.1447,67.4497,88.72,64,18,8.01
150,Fare,PF,2021-09-26 08:07:22,-16.7,-151.0167,79.38,78,8,12.62
151,Yenagoa,NG,2021-09-26 08:07:23,4.9247,6.2642,75.02,94,100,2.24
152,Pacific Grove,US,2021-09-26 08:07:23,36.6177,-121.9166,60.91,86,90,1.01
153,Hithadhoo,MV,2021-09-26 08:07:23,-0.6,73.0833,82.49,75,100,14.9
154,Sungai Besar,MY,2021-09-26 08:07:24,3.6746,100.9867,83.66,76,99,4.68
155,San Quintin,MX,2021-09-26 08:07:24,30.4833,-115.95,66.31,86,43,8.72
156,Port Lincoln,AU,2021-09-26 08:07:24,-34.7333,135.8667,57.81,63,44,11.9
157,Souillac,MU,2021-09-26 08:07:24,-20.5167,57.5167,77.36,70,13,18.05
158,Karakol,KG,2021-09-26 08:07:25,42.4907,78.3936,69.62,21,0,7.7
159,Port Hedland,AU,2021-09-26 08:07:25,-20.3167,118.5667,86.05,39,0,19.57
